Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","17/11/2020 02:06"
"Last updated:","17/11/2020 02:06"
"Last Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=Fb2V
"Data definitions",https://www.unhcr.org/refugee-statistics-2/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:
"Country of asylum::"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR’s mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad","Stateless persons","Others of concern"
2010,"Syrian Arab Rep.",SYR,Egypt,EGY,8,0,0,,0,0
2010,"Syrian Arab Rep.",SYR,Australia,AUS,68,16,0,,0,0
2010,"Syrian Arab Rep.",SYR,Austria,AUT,505,471,0,,0,0
2010,"Syrian Arab Rep.",SYR,Belgium,BEL,229,0,0,,0,0
2010,"Syrian Arab Rep.",SYR,Brazil,BRA,5,0,0,,0,0
2010,"Syrian Arab Rep.",SYR,Bulgaria,BGR,95,30,0,,0,0
2010,"Syrian Arab Rep.",SYR,Canada,CAN,545,221,0,,0,0
2010,"Syrian Arab Rep.",SYR,Cyprus,CYP,125,242,0,,0,0
2010,"Syrian Arab Rep.",SYR,Czechia,CZE,23,36,0,,0,0
2010,"Syrian Arab Rep.",SYR,Denmark,DNK,750,483,0,,0,0
2010,"Syrian Arab Rep.",SYR,Ecuador,ECU,9,0,0,,0,0
2010,"Syrian Arab Rep.",SYR,Finland,FIN,59,23,0,,0,0
2010,"Syrian Arab Rep.",SYR,France,FRA,280,0,0,,0,0
2010,"Syrian Arab Rep.",SYR,"United Kingdom of Great Britain and Northern Ireland",GBR,499,0,0,,0,0
2010,"Syrian Arab Rep.",SYR,Germany,DEU,10518,2690,0,,0,0
2010,"Syrian Arab Rep.",SYR,Greece,GRC,16,2217,0,,0,0
2010,"Syrian Arab Rep.",SYR,Croatia,HRV,0,5,0,,0,0
2010,"Syrian Arab Rep.",SYR,Hungary,HUN,39,10,0,,0,0
2010,"Syrian Arab Rep.",SYR,Ireland,IRL,34,10,0,,0,0
2010,"Syrian Arab Rep.",SYR,Iraq,IRQ,254,968,0,,0,0
2010,"Syrian Arab Rep.",SYR,Italy,ITA,211,29,0,,0,0
2010,"Syrian Arab Rep.",SYR,Jordan,JOR,198,287,0,,0,0
2010,"Syrian Arab Rep.",SYR,Kyrgyzstan,KGZ,11,11,0,,0,0
2010,"Syrian Arab Rep.",SYR,Kuwait,KWT,5,13,0,,0,0
2010,"Syrian Arab Rep.",SYR,Lebanon,LBN,64,141,0,,0,0
2010,"Syrian Arab Rep.",SYR,Lithuania,LTU,5,0,0,,0,0
2010,"Syrian Arab Rep.",SYR,Luxembourg,LUX,0,15,0,,0,0
2010,"Syrian Arab Rep.",SYR,"China, Macao SAR",MAC,0,5,0,,0,0
2010,"Syrian Arab Rep.",SYR,"Rep. of Moldova",MDA,10,5,0,,0,0
2010,"Syrian Arab Rep.",SYR,Malaysia,MYS,0,5,0,,0,0
2010,"Syrian Arab Rep.",SYR,Malta,MLT,33,0,0,,0,0
2010,"Syrian Arab Rep.",SYR,Netherlands,NLD,1186,133,0,,0,0
2010,"Syrian Arab Rep.",SYR,Norway,NOR,186,192,0,,0,0
2010,"Syrian Arab Rep.",SYR,"New Zealand",NZL,36,0,0,,0,0
2010,"Syrian Arab Rep.",SYR,Oman,OMN,7,0,0,,0,0
2010,"Syrian Arab Rep.",SYR,Pakistan,PAK,8,0,0,,0,0
2010,"Syrian Arab Rep.",SYR,Poland,POL,8,10,0,,0,0
2010,"Syrian Arab Rep.",SYR,Qatar,QAT,8,0,0,,0,0
2010,"Syrian Arab Rep.",SYR,Romania,ROU,21,13,0,,0,0
2010,"Syrian Arab Rep.",SYR,"Russian Federation",RUS,5,0,0,,0,0
2010,"Syrian Arab Rep.",SYR,"Saudi Arabia",SAU,14,5,0,,0,0
2010,"Syrian Arab Rep.",SYR,Spain,ESP,35,12,0,,0,0
2010,"Syrian Arab Rep.",SYR,Slovakia,SVK,22,0,0,,0,0
2010,"Syrian Arab Rep.",SYR,Sweden,SWE,1169,371,0,,0,0
2010,"Syrian Arab Rep.",SYR,Switzerland,CHE,694,859,0,,0,0
2010,"Syrian Arab Rep.",SYR,Tunisia,TUN,5,0,0,,0,0
2010,"Syrian Arab Rep.",SYR,Turkey,TUR,9,65,0,,0,0
2010,"Syrian Arab Rep.",SYR,"United Arab Emirates",ARE,34,10,0,,0,0
2010,"Syrian Arab Rep.",SYR,Ukraine,UKR,42,95,0,,0,0
2010,"Syrian Arab Rep.",SYR,"United States of America",USA,312,10,0,,0,0
2010,"Syrian Arab Rep.",SYR,Yemen,YEM,52,34,0,,0,0
2011,"Syrian Arab Rep.",SYR,Algeria,DZA,0,5,0,,0,0
2011,"Syrian Arab Rep.",SYR,Egypt,EGY,9,85,0,,0,0
2011,"Syrian Arab Rep.",SYR,Armenia,ARM,6,0,0,,0,0
2011,"Syrian Arab Rep.",SYR,Australia,AUS,84,67,0,,0,0
2011,"Syrian Arab Rep.",SYR,Austria,AUT,903,456,0,,0,0
2011,"Syrian Arab Rep.",SYR,Bahrain,BHR,0,5,0,,0,0
2011,"Syrian Arab Rep.",SYR,Belgium,BEL,312,666,0,,0,0
2011,"Syrian Arab Rep.",SYR,Brazil,BRA,6,13,0,,0,0
2011,"Syrian Arab Rep.",SYR,Bulgaria,BGR,98,70,0,,0,0
2011,"Syrian Arab Rep.",SYR,Canada,CAN,547,251,0,,0,0
2011,"Syrian Arab Rep.",SYR,Chad,TCD,5,0,0,,0,0
2011,"Syrian Arab Rep.",SYR,Cyprus,CYP,137,347,0,,0,0
2011,"Syrian Arab Rep.",SYR,Czechia,CZE,23,0,0,,0,0
2011,"Syrian Arab Rep.",SYR,Denmark,DNK,1197,93,0,,0,0
2011,"Syrian Arab Rep.",SYR,Ecuador,ECU,11,0,0,,0,0
2011,"Syrian Arab Rep.",SYR,Finland,FIN,86,75,0,,0,0
2011,"Syrian Arab Rep.",SYR,France,FRA,351,0,0,,0,0
2011,"Syrian Arab Rep.",SYR,"United Kingdom of Great Britain and Northern Ireland",GBR,693,339,0,,0,0
2011,"Syrian Arab Rep.",SYR,Germany,DEU,10155,4713,0,,0,0
2011,"Syrian Arab Rep.",SYR,Greece,GRC,10,0,0,,0,0
2011,"Syrian Arab Rep.",SYR,Croatia,HRV,0,5,0,,0,0
2011,"Syrian Arab Rep.",SYR,Hungary,HUN,42,0,0,,0,0
2011,"Syrian Arab Rep.",SYR,Indonesia,IDN,0,5,0,,0,0
2011,"Syrian Arab Rep.",SYR,Ireland,IRL,27,16,0,,0,0
2011,"Syrian Arab Rep.",SYR,Iraq,IRQ,323,1391,0,,0,0
2011,"Syrian Arab Rep.",SYR,Italy,ITA,262,0,0,,0,0
2011,"Syrian Arab Rep.",SYR,Jordan,JOR,193,2618,0,,0,0
2011,"Syrian Arab Rep.",SYR,Kyrgyzstan,KGZ,9,10,0,,0,0
2011,"Syrian Arab Rep.",SYR,Kuwait,KWT,10,10,0,,0,0
2011,"Syrian Arab Rep.",SYR,Lebanon,LBN,124,368,0,,0,4840
2011,"Syrian Arab Rep.",SYR,Lithuania,LTU,5,0,0,,0,0
2011,"Syrian Arab Rep.",SYR,Latvia,LVA,5,11,0,,0,0
2011,"Syrian Arab Rep.",SYR,"China, Macao SAR",MAC,0,5,0,,0,0
2011,"Syrian Arab Rep.",SYR,"Rep. of Moldova",MDA,11,10,0,,0,0
2011,"Syrian Arab Rep.",SYR,Malaysia,MYS,5,10,0,,0,0
2011,"Syrian Arab Rep.",SYR,Morocco,MAR,0,5,0,,0,0
2011,"Syrian Arab Rep.",SYR,Malta,MLT,80,72,0,,0,0
2011,"Syrian Arab Rep.",SYR,Netherlands,NLD,1064,231,0,,0,0
2011,"Syrian Arab Rep.",SYR,Norway,NOR,171,336,0,,0,0
2011,"Syrian Arab Rep.",SYR,"New Zealand",NZL,35,0,0,,0,0
2011,"Syrian Arab Rep.",SYR,Oman,OMN,7,5,0,,0,0
2011,"Syrian Arab Rep.",SYR,Pakistan,PAK,8,0,0,,0,0
2011,"Syrian Arab Rep.",SYR,Poland,POL,10,10,0,,0,0
2011,"Syrian Arab Rep.",SYR,Qatar,QAT,8,0,0,,0,0
2011,"Syrian Arab Rep.",SYR,Romania,ROU,20,27,0,,0,0
2011,"Syrian Arab Rep.",SYR,"Russian Federation",RUS,5,15,0,,0,0
2011,"Syrian Arab Rep.",SYR,"Saudi Arabia",SAU,14,12,0,,0,0
2011,"Syrian Arab Rep.",SYR,Spain,ESP,32,0,0,,0,0
2011,"Syrian Arab Rep.",SYR,Slovakia,SVK,23,0,0,,0,0
2011,"Syrian Arab Rep.",SYR,Slovenia,SVN,0,5,0,,0,0
2011,"Syrian Arab Rep.",SYR,Sweden,SWE,1206,485,0,,0,0
2011,"Syrian Arab Rep.",SYR,Switzerland,CHE,1074,1066,0,,0,0
2011,"Syrian Arab Rep.",SYR,Thailand,THA,0,10,0,,0,0
2011,"Syrian Arab Rep.",SYR,Tunisia,TUN,11,0,0,,0,0
2011,"Syrian Arab Rep.",SYR,Turkey,TUR,19,205,0,,0,9270
2011,"Syrian Arab Rep.",SYR,"United Arab Emirates",ARE,37,5,0,,0,0
2011,"Syrian Arab Rep.",SYR,Ukraine,UKR,43,176,0,,0,0
2011,"Syrian Arab Rep.",SYR,"United States of America",USA,373,112,0,,0,0
2011,"Syrian Arab Rep.",SYR,Yemen,YEM,42,24,0,,0,0
2012,"Syrian Arab Rep.",SYR,Albania,ALB,0,5,0,,0,0
2012,"Syrian Arab Rep.",SYR,Algeria,DZA,0,236,0,,0,0
2012,"Syrian Arab Rep.",SYR,Egypt,EGY,12836,0,0,,0,0
2012,"Syrian Arab Rep.",SYR,Argentina,ARG,40,10,0,,0,0
2012,"Syrian Arab Rep.",SYR,Armenia,ARM,136,340,0,,0,5500
2012,"Syrian Arab Rep.",SYR,Australia,AUS,204,75,0,,0,0
2012,"Syrian Arab Rep.",SYR,Austria,AUT,1675,694,0,,0,0
2012,"Syrian Arab Rep.",SYR,Azerbaijan,AZE,5,5,0,,0,0
2012,"Syrian Arab Rep.",SYR,Bahrain,BHR,0,5,0,,0,0
2012,"Syrian Arab Rep.",SYR,Belgium,BEL,355,938,0,,0,0
2012,"Syrian Arab Rep.",SYR,Belarus,BLR,0,11,0,,0,0
2012,"Syrian Arab Rep.",SYR,Brazil,BRA,42,67,0,,0,0
2012,"Syrian Arab Rep.",SYR,"Bosnia and Herzegovina",BIH,5,26,0,,0,0
2012,"Syrian Arab Rep.",SYR,Bulgaria,BGR,97,0,0,,0,0
2012,"Syrian Arab Rep.",SYR,Canada,CAN,533,404,0,,0,0
2012,"Syrian Arab Rep.",SYR,Chad,TCD,5,0,0,,0,0
2012,"Syrian Arab Rep.",SYR,Chile,CHL,0,5,0,,0,0
2012,"Syrian Arab Rep.",SYR,Cameroon,CMR,0,5,0,,0,0
2012,"Syrian Arab Rep.",SYR,Cuba,CUB,11,5,0,,0,0
2012,"Syrian Arab Rep.",SYR,Cyprus,CYP,139,946,0,,0,0
2012,"Syrian Arab Rep.",SYR,Czechia,CZE,54,70,0,,0,0
2012,"Syrian Arab Rep.",SYR,Denmark,DNK,1903,115,0,,0,0
2012,"Syrian Arab Rep.",SYR,"Dominican Rep.",DOM,7,0,0,,0,0
2012,"Syrian Arab Rep.",SYR,Ecuador,ECU,11,0,0,,0,0
2012,"Syrian Arab Rep.",SYR,Finland,FIN,218,110,0,,0,0
2012,"Syrian Arab Rep.",SYR,France,FRA,640,0,0,,0,0
2012,"Syrian Arab Rep.",SYR,"United Kingdom of Great Britain and Northern Ireland",GBR,1717,389,0,,0,0
2012,"Syrian Arab Rep.",SYR,Georgia,GEO,141,16,0,,0,0
2012,"Syrian Arab Rep.",SYR,Germany,DEU,18165,5986,0,,0,0
2012,"Syrian Arab Rep.",SYR,Greece,GRC,20,0,0,,0,0
2012,"Syrian Arab Rep.",SYR,Croatia,HRV,12,40,0,,0,0
2012,"Syrian Arab Rep.",SYR,Hungary,HUN,86,0,0,,0,0
2012,"Syrian Arab Rep.",SYR,India,IND,6,5,0,,0,0
2012,"Syrian Arab Rep.",SYR,Indonesia,IDN,5,48,0,,0,0
2012,"Syrian Arab Rep.",SYR,Ireland,IRL,38,11,0,,0,0
2012,"Syrian Arab Rep.",SYR,Iraq,IRQ,63586,1185,0,,0,0
2012,"Syrian Arab Rep.",SYR,Italy,ITA,445,507,0,,0,0
2012,"Syrian Arab Rep.",SYR,Jordan,JOR,238798,491,0,,0,0
2012,"Syrian Arab Rep.",SYR,Japan,JPN,0,18,0,,0,0
2012,"Syrian Arab Rep.",SYR,Kazakhstan,KAZ,0,15,0,,0,0
2012,"Syrian Arab Rep.",SYR,Kyrgyzstan,KGZ,7,33,0,,0,0
2012,"Syrian Arab Rep.",SYR,"Rep. of Korea",KOR,0,146,0,,0,0
2012,"Syrian Arab Rep.",SYR,Kuwait,KWT,15,10,0,,0,0
2012,"Syrian Arab Rep.",SYR,Libya,LBY,0,3794,0,,0,0
2012,"Syrian Arab Rep.",SYR,Lebanon,LBN,126939,242,0,,0,0
2012,"Syrian Arab Rep.",SYR,Lithuania,LTU,5,5,0,,0,0
2012,"Syrian Arab Rep.",SYR,Latvia,LVA,17,15,0,,0,0
2012,"Syrian Arab Rep.",SYR,"Rep. of Moldova",MDA,55,33,0,,0,0
2012,"Syrian Arab Rep.",SYR,Malaysia,MYS,5,83,0,,0,0
2012,"Syrian Arab Rep.",SYR,Morocco,MAR,0,842,0,,0,0
2012,"Syrian Arab Rep.",SYR,Malta,MLT,191,139,0,,0,0
2012,"Syrian Arab Rep.",SYR,Montenegro,MNE,0,5,0,,0,0
2012,"Syrian Arab Rep.",SYR,Netherlands,NLD,1449,231,0,,0,0
2012,"Syrian Arab Rep.",SYR,Niger,NER,0,5,0,,0,0
2012,"Syrian Arab Rep.",SYR,Norway,NOR,565,306,0,,0,0
2012,"Syrian Arab Rep.",SYR,"New Zealand",NZL,41,5,0,,0,0
2012,"Syrian Arab Rep.",SYR,Oman,OMN,7,5,0,,0,0
2012,"Syrian Arab Rep.",SYR,Pakistan,PAK,11,0,0,,0,0
2012,"Syrian Arab Rep.",SYR,Philippines,PHL,0,5,0,,0,0
2012,"Syrian Arab Rep.",SYR,Poland,POL,17,83,0,,0,0
2012,"Syrian Arab Rep.",SYR,Portugal,PRT,0,10,0,,0,0
2012,"Syrian Arab Rep.",SYR,Qatar,QAT,8,0,0,,0,0
2012,"Syrian Arab Rep.",SYR,Romania,ROU,152,10,0,,0,0
2012,"Syrian Arab Rep.",SYR,"South Africa",ZAF,0,10,0,,0,0
2012,"Syrian Arab Rep.",SYR,"Russian Federation",RUS,53,91,0,,0,1400
2012,"Syrian Arab Rep.",SYR,"Saudi Arabia",SAU,14,12,0,,0,0
2012,"Syrian Arab Rep.",SYR,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,0,49,0,,0,0
2012,"Syrian Arab Rep.",SYR,Spain,ESP,32,320,0,,0,0
2012,"Syrian Arab Rep.",SYR,Sudan,SDN,0,32,0,,0,0
2012,"Syrian Arab Rep.",SYR,Slovakia,SVK,24,0,0,,0,0
2012,"Syrian Arab Rep.",SYR,Slovenia,SVN,0,10,0,,0,0
2012,"Syrian Arab Rep.",SYR,Sweden,SWE,6051,3751,0,,0,0
2012,"Syrian Arab Rep.",SYR,Switzerland,CHE,1391,1692,0,,0,0
2012,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",SYR,0,0,2016500,,0,0
2012,"Syrian Arab Rep.",SYR,Thailand,THA,10,60,0,,0,0
2012,"Syrian Arab Rep.",SYR,Togo,TGO,0,10,0,,0,0
2012,"Syrian Arab Rep.",SYR,Tunisia,TUN,6,30,0,,0,0
2012,"Syrian Arab Rep.",SYR,Turkey,TUR,248466,200,0,,0,0
2012,"Syrian Arab Rep.",SYR,"United Arab Emirates",ARE,16,14,0,,0,0
2012,"Syrian Arab Rep.",SYR,Ukraine,UKR,63,453,0,,0,0
2012,"Syrian Arab Rep.",SYR,"United States of America",USA,1425,367,0,,0,0
2012,"Syrian Arab Rep.",SYR,Yemen,YEM,42,131,0,,0,0
2013,"Syrian Arab Rep.",SYR,Albania,ALB,0,15,0,,0,0
2013,"Syrian Arab Rep.",SYR,Algeria,DZA,0,1079,0,,0,0
2013,"Syrian Arab Rep.",SYR,Egypt,EGY,131659,0,0,,0,0
2013,"Syrian Arab Rep.",SYR,Argentina,ARG,159,12,0,,0,0
2013,"Syrian Arab Rep.",SYR,Armenia,ARM,11090,42,0,,0,0
